Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Silver,Primary,Recycled,323.05,16.13,73.49,65.19,78.87,1.44,0.17,1280.68,9.44,0.02,0.4688642920574728,0.41551559510567304
Steel,Recycled,Reused,48.08,2.12,4.86,169.33,57.86,7.33,0.26,0.84,28.65,0.15,0.06292170821859162,0.4985100778642937
Copper,Primary,Landfilled,83.06,7.36,3.3,208.9,36.37,5.88,0.63,5.31,23.09,0.04,0.14228693180641777,0.5282920133481646
Lead,Recycled,Recycled,47.58,3.91,1.11,187.71,65.67,1.54,0.45,1.68,6.53,0.06,0.07792539745711871,0.4769402892102337
Steel,Hybrid,Landfilled,77.95,3.78,7.8,141.75,77.02,8.38,0.76,1.63,14.6,0.09,0.10538955301371808,0.7985093659621803
Aluminium,Recycled,Recycled,101.44,7.85,17.85,267.78,72.77,5.58,0.52,2.5,5.54,0.26,0.1715991569931299,0.6232179310344828
Tin,Recycled,Recycled,63.6,5.63,4.99,276.17,59.37,3.2,0.25,20.21,5.15,0.07,0.11053690111460791,0.40867021134593995
Gold,Recycled,Recycled,453.11,23.45,216.91,133.84,82.38,4.38,0.18,3990.96,10.34,0.04,0.7418006574239532,0.49896160177975535
Gold,Recycled,Landfilled,446.51,34.42,201.53,197.73,37.79,4.39,0.21,3595.76,42.63,0.03,0.835990436521699,0.3328240711902114
Zinc,Hybrid,Landfilled,31.75,3.12,7.67,342.96,66.76,2.1,0.56,2.17,14.31,0.04,0.061730121489774324,0.5377585761957732
Gold,Recycled,Landfilled,449.36,33.47,278.18,106.22,84.65,2.88,0.36,3056.25,35.28,0.05,0.8798823754344759,0.5466711902113459
Nickel,Recycled,Reused,137.53,9.69,16.29,169.71,41.17,5.65,0.14,12.23,12.55,0.11,0.21784414493536863,0.34637521690767525
Cobalt,Recycled,Recycled,88.05,8.12,9.0,381.49,34.75,4.97,0.14,32.89,11.24,0.06,0.15768304384455198,0.30556729699666296
Copper,Recycled,Recycled,51.1,6.4,9.67,232.54,37.32,6.66,0.55,5.75,5.81,0.06,0.11135665791763404,0.5174446273637375
Steel,Recycled,Recycled,68.03,3.96,3.11,393.6,88.71,3.29,0.41,1.44,31.38,0.02,0.09612412094494739,0.5920324360400444
Steel,Hybrid,Recycled,99.5,4.34,3.24,380.2,76.21,5.67,0.26,1.95,28.54,0.03,0.1251953160329691,0.5349801557285874
Nickel,Hybrid,Reused,70.1,6.66,11.22,379.16,29.51,2.69,0.63,13.68,16.34,0.09,0.13019547841097515,0.4298842714126808
Gold,Hybrid,Recycled,351.38,33.78,230.2,111.19,80.38,1.38,0.34,3380.55,43.93,0.04,0.7725804296519388,0.4882207786429366
Aluminium,Recycled,Recycled,111.56,4.71,15.75,358.5,39.58,6.39,0.6,2.43,16.21,0.17,0.14688936112608236,0.5404779532814238
Lead,Recycled,Reused,86.98,2.68,6.97,135.81,55.76,6.31,0.5,2.13,5.47,0.12,0.10105948924815372,0.5634181979977753
Zinc,Hybrid,Recycled,42.8,5.09,5.87,134.24,76.59,1.72,0.53,3.24,5.5,0.14,0.08907738043181487,0.5566247385984427
Lead,Recycled,Landfilled,43.01,6.53,2.99,292.86,51.43,2.26,0.31,1.46,8.75,0.04,0.10172851961059472,0.3799980867630701
Silver,Hybrid,Recycled,228.05,12.44,71.86,92.68,70.18,3.09,0.55,1003.15,25.16,0.04,0.3548453013868544,0.5694630478309233
Cobalt,Primary,Recycled,82.45,4.12,10.42,218.16,20.99,3.16,0.42,24.46,14.17,0.15,0.11413861611905343,0.3222603337041157
Cobalt,Hybrid,Recycled,159.85,9.57,8.84,370.07,11.67,2.38,0.52,35.9,9.98,0.18,0.22953721180348166,0.30762771968854286
Lead,Primary,Reused,59.28,3.05,4.51,224.03,69.14,5.55,0.4,1.21,7.31,0.05,0.0809533270344764,0.5600305228031146
Nickel,Recycled,Recycled,62.7,12.91,13.1,273.7,67.85,3.02,0.36,10.07,19.91,0.18,0.18804299842994737,0.48258576195773084
Cobalt,Hybrid,Landfilled,102.92,7.42,9.23,168.3,21.86,4.35,0.1,29.39,18.39,0.11,0.1627342375110327,0.2242141935483871
Aluminium,Primary,Recycled,116.19,5.37,10.75,477.52,69.28,3.85,0.51,1.78,19.68,0.06,0.15386190061282307,0.566770723025584
Silver,Primary,Recycled,348.7,12.11,62.54,79.28,64.12,4.69,0.25,916.34,15.43,0.05,0.4418784502057824,0.4608181535038932
Lead,Primary,Landfilled,36.54,2.32,3.68,82.26,44.66,3.5,0.57,2.01,14.56,0.13,0.05490056141209344,0.4845042936596218
Silver,Primary,Recycled,170.36,21.39,50.98,148.96,61.09,3.23,0.49,862.58,6.94,0.03,0.384278119236946,0.5122176195773082
Aluminium,Hybrid,Recycled,54.03,4.2,11.2,401.91,33.77,4.14,0.23,2.22,6.82,0.25,0.09271613202586619,0.31918233592880985
Copper,Primary,Landfilled,86.72,9.93,9.65,225.67,15.19,6.5,0.59,7.86,12.22,0.05,0.17515669960000804,0.4413651167964405
Gold,Recycled,Recycled,473.22,26.37,112.61,190.17,85.02,5.26,0.16,4041.78,18.3,0.03,0.717548906596297,0.5210989098998888
Gold,Hybrid,Recycled,410.98,35.31,171.98,120.68,50.94,3.28,0.35,3758.0,37.58,0.04,0.7967548775845646,0.4167299666295884
Tin,Primary,Landfilled,20.87,1.13,4.53,122.9,24.4,4.51,0.58,21.88,12.74,0.04,0.031024641557663702,0.4299337041156841
Aluminium,Hybrid,Recycled,190.14,11.06,11.67,267.94,71.75,6.06,0.2,2.58,7.37,0.16,0.2705673794284755,0.5018164627363738
Copper,Hybrid,Reused,54.3,8.03,9.42,182.57,16.32,2.41,0.18,7.96,19.87,0.19,0.1300547910441418,0.19089512791991103
Lead,Primary,Reused,84.27,5.27,7.49,115.82,62.14,5.82,0.63,2.4,6.92,0.11,0.1251440744078995,0.6300371968854283
Nickel,Hybrid,Reused,110.94,7.65,11.15,271.11,35.72,1.29,0.14,19.51,16.09,0.11,0.17273307945681182,0.22757855394883203
Gold,Recycled,Recycled,445.96,23.79,195.11,126.85,44.33,3.67,0.29,3894.0,47.08,0.03,0.7249425811989058,0.3749662736373749
Silver,Hybrid,Reused,259.28,12.97,77.95,75.66,31.76,4.78,0.47,715.43,24.89,0.04,0.3891992071228767,0.4213803781979978
Nickel,Primary,Recycled,149.88,12.51,7.58,344.42,56.48,5.23,0.11,16.35,14.4,0.08,0.2501259460636364,0.3862715016685206
Copper,Hybrid,Recycled,135.01,4.43,12.58,210.3,76.78,1.79,0.57,7.24,18.91,0.1,0.16074039360073483,0.5749420244716352
Nickel,Hybrid,Landfilled,168.48,9.45,14.2,295.32,25.0,5.88,0.18,15.27,8.04,0.1,0.23881727002640304,0.3028120133481646
Copper,Primary,Recycled,40.27,6.95,4.66,356.36,60.52,2.76,0.6,6.79,9.72,0.07,0.10485054237723486,0.5434815572858732
Cobalt,Hybrid,Landfilled,85.0,9.12,14.38,335.06,69.42,4.96,0.22,33.28,6.1,0.06,0.16883243561627337,0.47602482758620696
Lead,Recycled,Landfilled,54.66,5.96,7.53,295.09,25.18,6.26,0.66,2.23,13.54,0.07,0.10837736508637215,0.5039858509454951
Tin,Primary,Reused,29.34,4.68,3.33,290.93,43.85,1.47,0.35,24.74,13.16,0.09,0.07251133879675414,0.34810300333704114
Zinc,Hybrid,Landfilled,104.13,5.11,6.21,108.31,42.0,5.0,0.52,3.88,8.82,0.12,0.13858288118863707,0.48723470522803114
Tin,Recycled,Recycled,24.6,2.95,4.16,290.44,71.88,3.76,0.58,18.4,11.39,0.09,0.05196735570209888,0.6031684983314793
Aluminium,Primary,Landfilled,121.26,4.39,12.29,390.84,42.43,6.16,0.15,2.0,12.18,0.13,0.1491436076827908,0.36676115684093435
Zinc,Hybrid,Landfilled,33.63,8.25,6.53,124.06,56.08,5.1,0.4,3.09,14.05,0.08,0.11378719831150118,0.49777939933259174
Lead,Hybrid,Landfilled,86.47,3.65,3.19,173.19,66.24,1.45,0.58,1.56,10.12,0.11,0.10783312023857651,0.5292180645161291
Tin,Primary,Reused,64.92,5.77,2.75,123.62,13.47,2.56,0.52,18.49,10.05,0.03,0.11149983643542184,0.31883216907675194
Silver,Primary,Landfilled,229.0,15.03,97.18,80.22,21.07,4.42,0.29,1283.27,20.59,0.04,0.3983965086084387,0.29861147942157956
Nickel,Recycled,Recycled,67.18,14.68,13.97,197.14,32.29,5.49,0.4,11.35,16.38,0.2,0.2099126547670529,0.41129570634037826
Tin,Recycled,Reused,62.01,5.96,4.41,204.49,58.2,4.07,0.13,19.82,12.79,0.06,0.11217857480111372,0.3753450500556174
Cobalt,Hybrid,Reused,91.84,8.73,4.22,106.62,49.47,3.14,0.4,26.91,10.31,0.2,0.16362996242774694,0.4277353948832036
Cobalt,Recycled,Recycled,126.91,7.87,6.47,115.71,63.79,2.25,0.51,33.67,11.86,0.05,0.18459263132260537,0.509215617352614
Lead,Hybrid,Reused,54.6,3.4,2.82,184.97,69.47,1.43,0.59,1.59,6.04,0.1,0.07958211152496898,0.5456931256952169
Aluminium,Primary,Landfilled,188.23,6.41,9.57,291.17,12.37,6.06,0.55,1.72,8.96,0.16,0.221126919551022,0.40429646273637376
Tin,Primary,Recycled,61.05,2.46,5.02,286.17,72.63,2.83,0.13,15.58,5.17,0.02,0.07680836728396331,0.4054788431590656
Silver,Hybrid,Reused,259.07,10.46,85.21,194.19,65.19,1.25,0.49,1064.75,22.92,0.03,0.3687661711495462,0.4845686763070078
Gold,Hybrid,Reused,460.9,27.61,104.21,72.48,27.19,5.05,0.2,3563.83,30.64,0.04,0.7144915559525228,0.3011070522803115
Aluminium,Recycled,Reused,82.95,10.79,11.58,318.54,14.99,4.15,0.25,2.71,13.93,0.1,0.18202895493541948,0.2522848053392659
Copper,Hybrid,Landfilled,44.95,5.86,3.98,292.23,27.71,4.01,0.3,6.29,24.88,0.18,0.09723948597840777,0.320050233592881
Steel,Primary,Reused,73.36,6.34,2.42,125.53,21.61,6.91,0.63,0.91,34.85,0.03,0.123735229317308,0.4921663626251391
Copper,Primary,Reused,40.7,3.81,7.57,338.64,66.53,2.79,0.58,7.78,6.61,0.19,0.07572731111653909,0.5601889655172414
Zinc,Primary,Recycled,89.55,5.13,3.15,162.7,48.68,1.35,0.55,3.49,13.78,0.03,0.1250748868059598,0.4447533704115684
Nickel,Primary,Reused,177.97,5.1,11.94,292.71,17.22,1.65,0.29,17.63,14.5,0.04,0.20139360203884446,0.22158745272525027
Copper,Primary,Reused,130.25,7.67,5.46,352.81,59.09,6.71,0.54,5.33,9.97,0.18,0.18459142010134313,0.6016369744160178
Tin,Recycled,Recycled,58.88,2.86,5.05,293.58,23.86,3.16,0.54,15.98,8.13,0.07,0.07909285191249489,0.38174033370411575
Nickel,Hybrid,Landfilled,108.31,10.12,10.43,219.35,16.25,2.72,0.48,12.18,17.62,0.05,0.19485449657738854,0.31751167964404897
Silver,Hybrid,Reused,267.28,18.58,52.03,171.34,31.64,1.09,0.53,966.51,5.25,0.02,0.4344305469770486,0.36280916573971084
Steel,Primary,Recycled,43.61,7.68,8.1,154.89,43.85,7.67,0.27,1.58,34.78,0.05,0.11711911472616499,0.4540340378197998
Zinc,Primary,Landfilled,58.26,2.42,2.38,319.84,58.84,4.52,0.64,3.03,7.81,0.1,0.07241512799949452,0.5919161735261402
Copper,Primary,Reused,118.84,7.12,7.08,368.46,16.52,6.12,0.37,7.06,13.35,0.17,0.17103959361256113,0.3502312791991101
Gold,Hybrid,Reused,386.01,25.78,166.45,63.72,35.74,5.26,0.4,3787.75,25.96,0.05,0.6777614019884349,0.4199789098998888
Copper,Primary,Landfilled,102.14,3.92,4.37,260.14,13.96,6.75,0.22,5.78,8.0,0.18,0.12386043383634739,0.29400685205784205
Silver,Primary,Recycled,332.92,23.12,147.75,150.14,30.34,2.56,0.21,1186.55,17.64,0.04,0.5962000129040261,0.262312169076752
Nickel,Hybrid,Landfilled,107.99,9.21,12.14,231.62,12.63,4.18,0.43,10.65,19.16,0.05,0.18663644826653772,0.3155122135706341
Lead,Hybrid,Landfilled,37.41,6.83,1.67,290.56,54.06,6.95,0.62,2.23,8.9,0.07,0.09936769066555945,0.6188562402669633
Gold,Recycled,Recycled,469.67,21.78,216.51,82.61,70.19,3.39,0.22,4127.99,21.69,0.02,0.7380817191758742,0.44417713014460514
Gold,Recycled,Landfilled,313.12,26.58,153.63,142.17,35.97,3.09,0.57,3955.48,42.78,0.03,0.6188849572532023,0.4406230478309232
Gold,Recycled,Landfilled,326.8,33.57,175.79,162.94,26.46,4.91,0.57,4495.04,46.21,0.05,0.7145269947480175,0.44307248053392656
Steel,Recycled,Landfilled,24.76,1.73,9.02,172.7,71.49,6.41,0.79,1.94,18.42,0.06,0.04313320758139313,0.744562892102336
Gold,Hybrid,Reused,489.02,26.44,136.09,149.05,74.38,1.59,0.35,4175.73,22.6,0.03,0.7465503834469778,0.4728926362625138
Lead,Recycled,Recycled,42.81,3.61,2.04,230.32,35.0,4.34,0.26,1.63,13.59,0.11,0.07172766750346275,0.340551724137931
Steel,Recycled,Landfilled,91.3,3.87,7.14,224.99,81.26,7.35,0.45,1.6,24.41,0.15,0.11653286566684003,0.6685550166852059
Cobalt,Hybrid,Landfilled,78.64,11.82,11.37,205.58,39.75,3.84,0.53,24.19,17.34,0.06,0.18874245852562582,0.45642825361512795
Zinc,Primary,Reused,77.73,8.75,10.09,227.2,66.13,5.83,0.66,3.57,5.79,0.09,0.15645300219126979,0.6582196662958845
Silver,Hybrid,Reused,222.28,24.04,102.06,108.94,31.22,1.46,0.57,1439.56,17.56,0.01,0.48639562707741046,0.3853605339265851
Gold,Hybrid,Recycled,465.22,25.15,265.56,119.38,65.45,2.5,0.14,3531.06,37.86,0.04,0.8009378002881083,0.3734173526140156
Nickel,Hybrid,Landfilled,148.44,9.8,13.9,179.97,62.73,2.75,0.43,17.62,12.51,0.16,0.22608128085433543,0.4840990878754171
Zinc,Hybrid,Reused,48.94,6.13,2.16,225.89,35.94,5.41,0.54,3.52,13.58,0.09,0.10191946205937279,0.4801159510567297
Nickel,Recycled,Reused,176.91,9.6,14.27,228.15,30.84,5.24,0.44,16.08,13.92,0.08,0.24711034804174914,0.41593397107897667
Gold,Hybrid,Landfilled,485.69,21.65,131.18,130.81,47.02,4.89,0.22,3766.61,48.45,0.04,0.6926993995575925,0.3848675417130145
Steel,Primary,Reused,33.76,1.93,4.42,342.06,41.22,6.76,0.26,1.46,37.46,0.03,0.049268383692042145,0.4192693214682981
Steel,Primary,Recycled,55.8,4.73,9.75,174.74,34.77,8.97,0.42,0.7,17.68,0.09,0.09846695777147374,0.506635061179088
Steel,Recycled,Recycled,68.48,2.15,3.5,255.46,74.07,3.53,0.32,1.72,17.51,0.11,0.07863977219765136,0.50281170189099
Copper,Hybrid,Reused,94.93,5.18,12.68,323.54,50.67,4.88,0.24,5.33,9.15,0.14,0.13623533143216252,0.40724507230255846
Aluminium,Recycled,Recycled,68.73,11.28,9.36,369.21,38.03,5.43,0.59,1.95,8.78,0.08,0.17407037164565964,0.5089208898776418
Silver,Hybrid,Reused,209.1,16.67,132.5,51.67,50.01,4.0,0.57,1412.96,24.85,0.02,0.42242877965311915,0.5170277641824249
Nickel,Hybrid,Recycled,156.99,5.77,4.44,283.47,10.59,3.2,0.31,16.69,15.18,0.19,0.18630490705770217,0.23755021134593995
Tin,Hybrid,Landfilled,47.76,1.64,4.75,298.51,62.18,3.33,0.15,23.24,5.01,0.06,0.057791078201364594,0.38280231368186873
Gold,Recycled,Reused,333.08,23.88,197.3,68.33,84.41,4.8,0.13,4023.77,21.69,0.03,0.6369720963625541,0.4964253170189099
Copper,Primary,Landfilled,111.73,9.47,14.98,184.85,82.78,3.86,0.49,6.8,16.79,0.12,0.19412383465533434,0.6129931924360401
Zinc,Primary,Reused,52.07,5.02,5.63,133.75,46.19,4.67,0.32,2.53,8.9,0.09,0.09563538817764675,0.4166532146829811
Silver,Recycled,Reused,268.63,13.19,114.43,86.28,44.35,2.69,0.4,983.14,13.49,0.04,0.42320848899703006,0.3972442714126808
Lead,Hybrid,Landfilled,68.46,6.25,7.3,282.1,88.68,2.45,0.4,2.15,9.33,0.12,0.12216802902843682,0.5692250055617354
Steel,Hybrid,Reused,70.51,7.59,6.62,243.34,61.89,8.04,0.33,1.84,29.5,0.07,0.13675841775932268,0.5584254060066741
Zinc,Primary,Reused,54.56,4.05,5.05,138.12,33.39,2.02,0.67,3.57,11.86,0.19,0.08753879054529752,0.4464988209121246
Aluminium,Recycled,Recycled,91.86,5.92,7.0,207.26,39.39,4.69,0.6,1.64,5.17,0.09,0.13739276815988147,0.5018981535038932
Zinc,Primary,Recycled,74.86,8.52,5.1,264.06,41.88,3.34,0.16,2.84,9.11,0.07,0.148528184026378,0.3058247830923248
Silver,Recycled,Recycled,269.74,18.89,96.52,135.61,83.35,2.04,0.48,1448.5,10.94,0.03,0.4691678241910717,0.5707837597330367
Aluminium,Recycled,Recycled,80.33,10.19,10.86,475.49,72.82,1.51,0.47,2.8,9.15,0.28,0.1734506975374867,0.5128728809788654
Gold,Primary,Landfilled,415.61,32.98,142.91,65.61,53.85,2.0,0.17,3005.76,23.58,0.05,0.7577689932829097,0.32789388209121245
Copper,Recycled,Reused,86.38,4.46,12.65,281.89,55.71,6.61,0.36,6.5,14.31,0.12,0.1221714730315093,0.5138922803114573
Cobalt,Primary,Reused,81.61,6.34,14.24,116.76,24.61,2.21,0.53,35.49,11.12,0.15,0.1382193118053246,0.3596057397107898
Gold,Primary,Recycled,402.63,36.59,207.62,174.43,32.41,2.89,0.36,4254.24,29.88,0.02,0.826642411473435,0.337933659621802
Zinc,Primary,Recycled,106.23,4.74,8.75,304.77,41.62,4.39,0.23,3.19,6.26,0.14,0.13825624511791043,0.3561440711902113
Copper,Primary,Recycled,79.31,6.02,3.09,398.83,40.92,5.62,0.12,5.93,24.03,0.15,0.12574264335533578,0.336707808676307
Aluminium,Recycled,Recycled,146.06,11.78,12.96,432.55,21.73,4.54,0.63,2.58,9.32,0.11,0.24335482689838084,0.4399211123470523
Steel,Primary,Reused,73.94,7.82,3.08,276.93,89.68,6.3,0.6,1.88,30.11,0.15,0.13944318684894239,0.7388757285873193
Copper,Recycled,Reused,121.02,3.38,14.15,354.91,68.64,4.09,0.2,6.02,22.53,0.08,0.1400893551889657,0.4455499888765295
Cobalt,Recycled,Landfilled,97.6,5.87,8.84,180.59,12.93,4.01,0.19,37.33,16.17,0.07,0.14271301500705838,0.216930233592881
Lead,Primary,Landfilled,29.47,6.95,4.27,278.09,83.98,6.77,0.57,2.46,9.23,0.09,0.09594788024757435,0.7145317908787542
Zinc,Hybrid,Recycled,112.2,8.16,2.89,336.16,30.28,5.62,0.3,3.05,5.8,0.11,0.17333452176358796,0.36614780867630703
Silver,Primary,Reused,314.81,10.74,88.87,73.67,83.23,2.72,0.23,856.37,21.72,0.04,0.41861290377929833,0.48543167964404904
Copper,Recycled,Recycled,103.16,8.74,11.81,226.75,35.72,4.85,0.66,7.93,11.85,0.05,0.17785005474253462,0.5147776640711902
Aluminium,Hybrid,Reused,118.72,6.38,15.65,389.13,70.05,3.92,0.36,2.07,7.37,0.25,0.16925657163658162,0.5114080088987765
Steel,Primary,Recycled,53.92,6.7,9.77,364.56,35.86,1.25,0.53,1.02,34.59,0.04,0.1166807695574683,0.38324867630700776
Aluminium,Hybrid,Reused,53.75,7.3,16.47,434.02,13.99,7.86,0.59,1.71,14.17,0.26,0.1270140872158105,0.466820956618465
Tin,Recycled,Recycled,64.44,1.68,2.46,268.13,43.11,3.74,0.43,20.8,8.01,0.08,0.07001210874132156,0.4276435595105673
Lead,Primary,Landfilled,63.31,4.09,5.12,112.9,85.63,3.99,0.21,2.35,10.84,0.11,0.09498767031492335,0.5152852947719688
Cobalt,Hybrid,Recycled,159.14,11.41,14.49,143.48,41.09,2.78,0.19,39.75,10.05,0.14,0.25114131388166827,0.30220649610678535
Copper,Hybrid,Recycled,79.5,3.5,14.33,184.23,13.35,1.66,0.41,5.36,24.4,0.07,0.10818371948218297,0.2543299221357064
Zinc,Hybrid,Recycled,88.84,3.05,7.94,165.11,37.65,4.76,0.16,3.02,12.42,0.15,0.10689570017053031,0.3204954393770857
Aluminium,Primary,Landfilled,170.4,5.98,16.82,473.8,34.09,5.54,0.31,1.67,5.23,0.29,0.2073921863640772,0.3836080533926585
Lead,Hybrid,Landfilled,34.02,3.59,7.82,155.17,83.82,6.4,0.24,1.57,9.17,0.09,0.06834786842086649,0.5736604226918799
Tin,Recycled,Recycled,79.43,5.68,1.4,252.81,79.96,1.52,0.41,17.46,11.04,0.07,0.12131085476017422,0.5176553503893215
Tin,Primary,Recycled,56.73,2.66,3.67,105.76,67.17,3.26,0.4,23.84,10.05,0.06,0.07445159023384416,0.5012050278086763
Silver,Primary,Reused,199.69,21.04,77.16,149.81,48.35,4.77,0.25,1214.45,29.6,0.02,0.4217062741275475,0.3995179087875417
Tin,Recycled,Landfilled,36.48,4.06,2.17,176.84,39.02,2.85,0.42,15.94,5.05,0.06,0.07124996291282869,0.3874837819799778
Nickel,Primary,Reused,95.65,9.49,5.34,170.62,63.97,2.63,0.54,16.07,8.46,0.24,0.17502764340815627,0.5303894549499444
Aluminium,Hybrid,Reused,99.73,8.24,16.04,337.59,17.58,7.81,0.25,2.77,18.2,0.06,0.17292473318350918,0.3440686095661847
Copper,Hybrid,Landfilled,48.58,3.32,13.34,335.19,47.89,3.41,0.18,5.36,24.05,0.16,0.08097967029580092,0.33942206896551724
Silver,Primary,Reused,333.05,18.51,147.57,188.72,22.95,3.29,0.35,1089.92,18.13,0.01,0.5500724842228828,0.30499243604004445
Tin,Recycled,Landfilled,36.53,5.24,4.92,91.55,40.61,3.21,0.43,15.78,14.72,0.03,0.08492674800674156,0.4058526807563961
Silver,Hybrid,Recycled,298.1,20.32,61.11,58.53,45.7,4.29,0.56,1419.6,24.25,0.01,0.4825532450706561,0.5022393770856508
Aluminium,Recycled,Recycled,130.28,10.51,14.01,470.94,39.89,1.31,0.51,2.88,17.52,0.08,0.21872404948438912,0.3927034927697442
Lead,Hybrid,Recycled,86.24,3.76,7.63,227.19,57.0,2.42,0.41,1.51,6.54,0.06,0.1117101296346571,0.4458375973303671
Lead,Primary,Landfilled,74.38,5.25,5.85,250.23,69.52,1.31,0.5,1.82,13.85,0.14,0.11593602511644492,0.5072234927697442
Copper,Hybrid,Recycled,110.64,8.18,9.47,326.79,53.86,5.92,0.62,6.15,19.17,0.17,0.1766740340202058,0.5951418909899888
Gold,Recycled,Recycled,495.61,33.29,101.75,172.95,24.58,1.98,0.55,3053.68,11.32,0.03,0.7974416549532939,0.3623689432703004
Nickel,Primary,Reused,161.28,7.12,7.85,252.23,75.19,1.45,0.57,15.64,14.46,0.21,0.20551525252789377,0.561018064516129
Zinc,Hybrid,Reused,89.72,3.37,6.68,211.77,70.07,1.45,0.49,2.85,14.77,0.15,0.10996048757421008,0.508538064516129
Nickel,Hybrid,Landfilled,131.59,10.53,16.21,349.2,12.53,3.95,0.49,14.19,13.03,0.22,0.2214394718733424,0.33399541713014463
Nickel,Primary,Recycled,153.8,14.72,13.1,161.49,21.78,5.38,0.2,14.67,8.98,0.04,0.2790493951226486,0.28680854282536156
Aluminium,Primary,Recycled,177.71,11.66,10.31,373.28,39.98,3.88,0.72,1.84,13.64,0.18,0.265714987199405,0.5342381312569522
Nickel,Recycled,Recycled,75.4,11.31,15.27,326.16,54.22,5.41,0.31,14.21,18.39,0.13,0.18364909889171765,0.4612359510567297
Lead,Hybrid,Reused,58.63,2.04,6.27,257.3,35.27,6.79,0.37,2.41,11.95,0.11,0.07150429166193603,0.44013672969966633
Steel,Recycled,Reused,58.57,2.09,6.42,152.24,20.64,2.56,0.64,0.7,27.86,0.12,0.07205642896265221,0.39551216907675196
Tin,Primary,Reused,36.21,2.68,4.23,287.85,30.6,4.86,0.38,18.03,12.42,0.08,0.05860414688390805,0.3825201334816463
Tin,Recycled,Recycled,74.36,5.56,1.75,119.26,16.89,4.11,0.26,18.0,9.21,0.07,0.11628673309215848,0.2629949276974416
Steel,Recycled,Landfilled,26.35,6.74,4.79,160.13,21.39,3.69,0.47,1.21,32.08,0.06,0.09169736522735367,0.355651212458287
Silver,Recycled,Landfilled,310.34,19.73,74.56,175.36,30.11,3.02,0.44,1158.18,22.94,0.05,0.49541576659893577,0.3636257619577309
Tin,Recycled,Recycled,33.77,4.54,5.08,170.83,22.59,4.8,0.41,23.19,9.26,0.04,0.07582303008905085,0.36114531701890995
Lead,Primary,Recycled,81.56,6.46,4.25,275.44,66.38,2.64,0.37,1.24,14.29,0.03,0.132717823403016,0.4722519243604004
Gold,Recycled,Landfilled,416.85,33.66,234.21,52.08,67.95,1.16,0.51,4911.9,17.15,0.02,0.8264458935045513,0.5016064516129032
Cobalt,Primary,Reused,124.45,5.77,11.34,282.58,18.95,4.01,0.25,32.31,17.5,0.19,0.16486632210798413,0.265010233592881
Silver,Recycled,Recycled,254.69,18.85,142.4,125.93,56.01,3.08,0.17,1032.28,6.73,0.05,0.48731893636888346,0.3605605784204672
Nickel,Hybrid,Landfilled,159.62,13.85,6.36,427.88,70.97,2.02,0.28,16.4,13.89,0.09,0.27051008492276163,0.4408188209121246
Tin,Recycled,Landfilled,58.32,5.81,2.31,291.04,26.51,3.67,0.49,17.1,7.49,0.05,0.10632494040866512,0.3836862736373749
Silver,Hybrid,Recycled,295.89,18.23,144.18,110.17,26.77,3.41,0.51,1232.69,18.29,0.04,0.5152742601440955,0.38694206896551725
Steel,Hybrid,Reused,87.77,6.05,4.46,272.35,49.22,5.62,0.57,0.58,16.17,0.1,0.13372632633724763,0.549907808676307
Zinc,Primary,Landfilled,57.82,5.53,6.86,187.22,59.67,3.97,0.26,3.92,8.4,0.14,0.10615826263559403,0.43100035595105674
Steel,Hybrid,Reused,89.08,7.23,4.22,280.04,20.09,7.19,0.5,0.86,35.6,0.11,0.14641754889123287,0.4403155061179088
Cobalt,Primary,Recycled,148.14,11.36,12.21,258.33,24.43,3.38,0.33,37.91,10.21,0.14,0.24031814261672174,0.3049146607341491
Silver,Hybrid,Landfilled,172.28,12.08,82.03,95.83,22.77,4.2,0.37,1140.29,16.58,0.03,0.31339682082741505,0.33251715239154617
Lead,Primary,Reused,35.0,4.28,7.16,299.14,45.9,1.5,0.73,1.65,14.81,0.14,0.07559371175817495,0.5089704115684093
Aluminium,Primary,Landfilled,165.8,10.05,10.89,393.31,87.07,4.08,0.63,2.28,18.26,0.3,0.24046687174040743,0.6910475194660733
Cobalt,Hybrid,Recycled,158.0,5.89,5.98,290.25,51.99,3.91,0.47,38.45,9.15,0.15,0.18934039012293405,0.4829455394883204
Nickel,Hybrid,Recycled,68.34,9.98,11.66,362.9,61.43,5.54,0.36,13.71,16.06,0.21,0.1622887695361564,0.5129680533926585
Zinc,Hybrid,Reused,42.59,8.22,11.13,229.15,55.45,3.08,0.41,3.12,14.77,0.05,0.12372475900063679,0.45432057842046725
Silver,Primary,Landfilled,212.0,16.79,68.24,113.7,45.58,3.71,0.32,1277.08,5.47,0.04,0.38309834888978794,0.39285615127919915
Copper,Hybrid,Reused,118.06,5.85,3.86,235.67,43.63,3.87,0.29,5.17,15.69,0.14,0.15556499129863213,0.3766156618464961
Lead,Hybrid,Recycled,80.02,5.81,2.4,91.41,82.55,4.37,0.74,2.02,7.81,0.09,0.12375016597580178,0.7234191323692993
